areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
All Downtown,Manhattan,submarket,3200.000,3200.000,3025.000,3100.000,3100.000,3200.000,3195.000,3200.000,3400.000,3495.000,3450.000,3400.000,3375.000,3397.000,3300.000,3300.000,3395.000,3400.000,3395.000,3495.000,3600.000,3650.000,3550.000,3495.000,3450.000,3450.000,3500.000,3500.000,3550.000,3550.000,3500.000,3550.000,3635.000,3600.000,3650.000,3650.000,3525.000,3500.000,3500.000,3500.000,3500.000,3500.000,3500.000,3575.000,3650.000,3650.000,3695.000,3600.000,3630.000,3600.000,3600.000,3650.000,3650.000,3595.000,3595.000,3595.000,3650.000,3600.000,3600.000,3600.000,3600.000,3640.000,3650.000,3700.000,3750.000,3700.000,3700.000,3770.000,3795.000,3800.000,3750.000,3775.000,3700.000,3701.000,3750.000,3795.000,3800.000,3850.000,3892.000,3795.000,3795.000,3751.000,3700.000,3650.000,3650.000,3700.000,3695.000,3708.000,3790.000,3725.000,3727.000,3700.000,3664.000,3662.000,3675.000,3640.000,3650.000,3750.000,3735.000,3754.000,3838.000,3800.000,3795.000,3800.000,3825.000,3800.000,3852.000,3800.000,3800.000,3850.000,3800.000,3937.000,4000.000,4051.000,4000.000,3995.000,4000.000,4030.000,4043.000,4000.000,4000.000,3995.000,3995.000,3850.000,3700.000,3600.000,3500.000,3390.000,3295.000,3196.000,3120.000,3150.000,3100.000,3195.000,3200.000,3200.000,3330.000,3562.000,3800.000,4000.000,4150.000,4300.000,4350.000,4364.000,4500.000,4595.000,4595.000,4710.000,4800.000,4775.000,4800.000,4800.000,4900.000,4902.000
All Midtown,Manhattan,submarket,2875.000,2800.000,2800.000,2850.000,2895.000,2950.000,3000.000,3000.000,3100.000,3100.000,3150.000,3150.000,3160.000,3198.000,3195.000,3200.000,3250.000,3300.000,3335.000,3300.000,3350.000,3375.000,3395.000,3350.000,3300.000,3250.000,3250.000,3320.000,3395.000,3395.000,3395.000,3400.000,3400.000,3400.000,3440.000,3450.000,3400.000,3400.000,3400.000,3390.000,3350.000,3395.000,3350.000,3395.000,3400.000,3400.000,3395.000,3400.000,3350.000,3392.000,3395.000,3400.000,3450.000,3450.000,3400.000,3400.000,3400.000,3450.000,3495.000,3500.000,3500.000,3500.000,3500.000,3500.000,3549.000,3524.000,3510.000,3500.000,3555.000,3500.000,3500.000,3500.000,3495.000,3500.000,3500.000,3550.000,3573.000,3500.000,3525.000,3500.000,3545.000,3500.000,3500.000,3500.000,3470.000,3495.000,3464.000,3500.000,3500.000,3528.000,3500.000,3500.000,3500.000,3500.000,3350.000,3350.000,3375.000,3395.000,3390.000,3450.000,3500.000,3500.000,3500.000,3500.000,3500.000,3520.000,3500.000,3550.000,3500.000,3550.000,3530.000,3575.000,3615.000,3675.000,3700.000,3700.000,3700.000,3685.000,3713.000,3700.000,3700.000,3700.000,3695.000,3555.000,3377.000,3241.000,3100.000,3000.000,2970.000,2900.000,2895.000,2895.000,2900.000,2922.000,2990.000,3000.000,3150.000,3250.000,3495.000,3600.000,3850.000,3950.000,4078.000,4145.000,4314.000,4350.000,4300.000,4400.000,4425.000,4400.000,4476.000,4300.000,4395.000,4380.000
All Upper East Side,Manhattan,submarket,2450.000,2450.000,2400.000,2500.000,2550.000,2550.000,2595.000,2500.000,2595.000,2550.000,2500.000,2550.000,2500.000,2500.000,2450.000,2500.000,2600.000,2695.000,2650.000,2695.000,2795.000,2800.000,2800.000,2800.000,2700.000,2700.000,2695.000,2695.000,2695.000,2750.000,2700.000,2750.000,2850.000,2795.000,2850.000,2850.000,2795.000,2800.000,2795.000,2750.000,2750.000,2750.000,2750.000,2800.000,2895.000,2850.000,2800.000,2800.000,2700.000,2795.000,2700.000,2700.000,2700.000,2700.000,2725.000,2700.000,2750.000,2750.000,2800.000,2849.000,2850.000,2900.000,2900.000,2875.000,2950.000,2995.000,2950.000,2995.000,3050.000,2999.000,2900.000,2973.000,2995.000,2979.000,3000.000,3000.000,3000.000,2995.000,2990.000,2925.000,2950.000,2950.000,2975.000,3000.000,2995.000,2995.000,2925.000,2950.000,2950.000,2950.000,2950.000,2900.000,2995.000,2950.000,2995.000,2990.000,2900.000,2895.000,2850.000,2850.000,2850.000,2900.000,2923.000,2900.000,2895.000,2995.000,2995.000,3000.000,3000.000,3000.000,2995.000,2995.000,3000.000,3050.000,3050.000,2995.000,3000.000,3100.000,3208.000,3295.000,3275.000,3250.000,3250.000,3150.000,3058.000,2950.000,2800.000,2700.000,2650.000,2500.000,2495.000,2500.000,2450.000,2470.000,2400.000,2400.000,2470.000,2495.000,2550.000,2700.000,2850.000,2925.000,3200.000,3300.000,3408.000,3500.000,3400.000,3400.000,3500.000,3500.000,3500.000,3738.000,3743.000,3800.000
All Upper Manhattan,Manhattan,submarket,1836.000,1800.000,1795.000,1800.000,1823.000,1850.000,1875.000,1850.000,1898.000,1875.000,1850.000,1850.000,1850.000,1800.000,1875.000,1895.000,1920.000,1950.000,1950.000,1983.000,1995.000,1990.000,1995.000,2000.000,2000.000,2000.000,2000.000,2000.000,1995.000,1963.000,2000.000,2050.000,2000.000,1995.000,2000.000,2000.000,1980.000,1995.000,2000.000,2000.000,2025.000,2100.000,2150.000,2150.000,2100.000,2000.000,2000.000,2000.000,2000.000,1995.000,2000.000,2090.000,2100.000,2100.000,2100.000,2150.000,2100.000,2150.000,2178.000,2190.000,2156.000,2200.000,2200.000,2200.000,2250.000,2291.000,2295.000,2300.000,2266.000,2275.000,2250.000,2250.000,2291.000,2285.000,2300.000,2375.000,2395.000,2350.000,2395.000,2400.000,2400.000,2395.000,2395.000,2383.000,2350.000,2300.000,2296.000,2336.000,2350.000,2350.000,2395.000,2395.000,2354.000,2350.000,2262.000,2295.000,2275.000,2295.000,2302.000,2350.000,2390.000,2400.000,2450.000,2400.000,2350.000,2350.000,2300.000,2300.000,2300.000,2345.000,2375.000,2400.000,2450.000,2500.000,2500.000,2495.000,2450.000,2395.000,2350.000,2350.000,2391.000,2400.000,2450.000,2468.000,2439.000,2425.000,2400.000,2350.000,2295.000,2250.000,2208.000,2200.000,2200.000,2180.000,2190.000,2200.000,2250.000,2295.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2396.000,2400.000,2422.000,2500.000,2550.000,2700.000,2795.000,2750.000,2700.000,2700.000
All Upper West Side,Manhattan,submarket,2895.000,2800.000,2750.000,2800.000,2800.000,2795.000,2800.000,2895.000,2995.000,3050.000,3000.000,2995.000,2995.000,3000.000,2950.000,3000.000,3000.000,3100.000,3100.000,3200.000,3250.000,3342.000,3386.000,3495.000,3300.000,3200.000,3049.000,3150.000,3200.000,3200.000,3250.000,3300.000,3325.000,3350.000,3350.000,3300.000,3200.000,3250.000,3200.000,3200.000,3250.000,3150.000,3200.000,3250.000,3285.000,3300.000,3200.000,3230.000,3200.000,3195.000,3200.000,3295.000,3299.000,3280.000,3200.000,3200.000,3295.000,3300.000,3280.000,3250.000,3285.000,3300.000,3250.000,3300.000,3350.000,3395.000,3415.000,3495.000,3550.000,3500.000,3500.000,3495.000,3430.000,3425.000,3439.000,3450.000,3475.000,3447.000,3475.000,3400.000,3450.000,3425.000,3395.000,3345.000,3299.000,3300.000,3250.000,3295.000,3317.000,3350.000,3350.000,3386.000,3355.000,3387.000,3313.000,3346.000,3350.000,3288.000,3250.000,3285.000,3300.000,3350.000,3345.000,3321.000,3395.000,3392.000,3350.000,3395.000,3395.000,3350.000,3391.000,3450.000,3460.000,3450.000,3400.000,3500.000,3600.000,3600.000,3621.000,3549.000,3600.000,3550.000,3500.000,3400.000,3295.000,3200.000,3140.000,3000.000,2920.000,2800.000,2800.000,2800.000,2799.000,2834.000,2800.000,2850.000,3000.000,3000.000,3195.000,3295.000,3514.000,3600.000,3772.000,3920.000,3995.000,4000.000,4075.000,4237.000,4244.000,4200.000,4402.000,4495.000,4500.000,4550.000
Astoria,Queens,neighborhood,1600.000,1650.000,1620.000,1600.000,1700.000,1700.000,1600.000,1600.000,1600.000,1700.000,1650.000,1650.000,1600.000,1600.000,1750.000,1825.000,1900.000,1900.000,1820.000,1900.000,1900.000,1900.000,1973.000,2000.000,2000.000,2038.000,2038.000,2113.000,2100.000,1990.000,2175.000,2250.000,2250.000,2150.000,2046.000,2000.000,2000.000,2000.000,1950.000,2000.000,2200.000,2100.000,2200.000,2150.000,2150.000,2100.000,2000.000,2038.000,2100.000,2100.000,2100.000,2100.000,2100.000,2100.000,2100.000,2150.000,2200.000,2200.000,2200.000,2150.000,2200.000,2200.000,2200.000,2300.000,2300.000,2295.000,2300.000,2300.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2317.000,2300.000,2275.000,2275.000,2250.000,2200.000,2200.000,2200.000,2200.000,2250.000,2300.000,2300.000,2250.000,2195.000,2200.000,2195.000,2150.000,2123.000,2100.000,2100.000,2200.000,2200.000,2246.000,2250.000,2250.000,2200.000,2175.000,2150.000,2199.000,2200.000,2200.000,2200.000,2268.000,2300.000,2350.000,2350.000,2350.000,2350.000,2300.000,2300.000,2333.000,2395.000,2300.000,2300.000,2280.000,2250.000,2200.000,2170.000,2100.000,2000.000,2000.000,1995.000,1950.000,1950.000,1923.000,1950.000,1999.000,2000.000,2100.000,2200.000,2200.000,2200.000,2200.000,2250.000,2266.000,2300.000,2350.000,2373.000,2500.000,2617.000,2650.000,2700.000,2795.000,2700.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.000,,2300.000,2100.000,1995.000,1995.000,1950.000,1900.000,1995.000,1995.000,1695.000,,1798.000,1625.000,1795.000,1850.000,2100.000,2225.000,2100.000,2048.000,2048.000,2148.000,2100.000,,1995.000,2195.000,2195.000,2295.000,2095.000,2195.000,2048.000,1895.000,1995.000,1495.000,1795.000,2325.000,2300.000,2300.000,2300.000,2200.000,2095.000,2098.000,2095.000,2095.000,2048.000,1995.000,1995.000,1948.000,2045.000,2045.000,1995.000,1998.000,1998.000,1900.000,1650.000,2198.000,2100.000,2100.000,2177.000,1900.000,1895.000,2000.000,1998.000,,1998.000,1995.000,1823.000,2000.000,2095.000,2073.000,2000.000,2152.000,2212.000,2100.000,2195.000,2000.000,2000.000,2195.000,2125.000,,2615.000,2407.000,,,,,2500.000,2400.000,2500.000,2557.000,2514.000,2600.000,,2525.000
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075.000,1075.000,1188.000,1200.000,1075.000,1138.000,,,,,,,,,,,,,,,,,,,,,,1395.000,1625.000,1575.000,,,,2200.000,1725.000,1800.000,1750.000,1700.000,1450.000,,1550.000,1725.000,1775.000,1775.000,2000.000,1850.000,1613.000,1700.000,1700.000,1800.000,2000.000,2000.000,1898.000,1745.000,1950.000,2025.000,2175.000,2250.000,2050.000,2098.000,2000.000,2200.000,2200.000,1900.000,1900.000,2100.000,1950.000,1850.000,1950.000,1950.000,2000.000,1975.000,1950.000,1850.000,1898.000,2000.000,1848.000,1875.000,1950.000,2000.000,2023.000,2000.000,1850.000,1700.000,1675.000,1675.000,1750.000,1725.000,1675.000,1700.000,1575.000,1695.000,1675.000,1695.000,1750.000,1799.000,1795.000,1795.000,1850.000,1795.000,1795.000,1795.000,1900.000,2025.000,,1875.000,1800.000,1900.000,2075.000,1795.000,1700.000,1785.000,1695.000,1698.000,1750.000,1799.000,1750.000,1733.000,1799.000,1700.000,1750.000,1699.000,1699.000,1750.000,1750.000,1750.000,1675.000,1850.000,1850.000,1820.000,1785.000,1800.000,1860.000,2075.000,2000.000
Battery Park City,Manhattan,neighborhood,3495.000,3346.000,3268.000,3295.000,3100.000,3395.000,3200.000,3225.000,3360.000,3415.000,3348.000,3350.000,3300.000,3150.000,3195.000,3368.000,3700.000,3693.000,3625.000,3650.000,3840.000,3850.000,3700.000,3615.000,3400.000,3500.000,3500.000,3600.000,3800.000,3905.000,4450.000,4375.000,4185.000,4050.000,4100.000,3995.000,3800.000,3500.000,3500.000,3568.000,3875.000,3995.000,3850.000,3850.000,3863.000,3995.000,3850.000,3895.000,3900.000,4013.000,4100.000,3550.000,3695.000,4650.000,4300.000,4198.000,4500.000,4063.000,3898.000,3595.000,3800.000,3950.000,4025.000,4150.000,4518.000,4630.000,4700.000,4795.000,4750.000,4750.000,5100.000,4750.000,4611.000,4600.000,4595.000,4825.000,4600.000,4675.000,4650.000,4765.000,4750.000,4250.000,4050.000,4025.000,4175.000,3995.000,3910.000,3995.000,4350.000,4393.000,4515.000,4375.000,4485.000,4685.000,3860.000,3948.000,4175.000,4100.000,4045.000,4278.000,4650.000,4523.000,4653.000,4858.000,4995.000,4858.000,4500.000,4428.000,4365.000,4495.000,4300.000,4450.000,4950.000,5125.000,5196.000,4725.000,4659.000,4895.000,5250.000,4985.000,4400.000,4154.000,4172.000,4195.000,4500.000,4475.000,4212.000,4200.000,4125.000,3950.000,3750.000,3800.000,3750.000,3898.000,3978.000,3995.000,3895.000,4078.000,4300.000,4475.000,4350.000,4250.000,4441.000,5260.000,5044.000,5100.000,4685.000,4730.000,5080.000,5250.000,5688.000,5750.000,5532.000,5500.000
Bay Ridge,Brooklyn,neighborhood,1350.000,1375.000,1350.000,1350.000,1350.000,1350.000,1300.000,1300.000,1300.000,1400.000,1475.000,1450.000,1425.000,1425.000,1450.000,1500.000,1560.000,1510.000,1650.000,1750.000,1750.000,1550.000,1750.000,1600.000,1650.000,1495.000,1495.000,1700.000,1875.000,1450.000,1450.000,1498.000,1800.000,1725.000,1800.000,1925.000,1550.000,1498.000,1925.000,1795.000,1625.000,1600.000,1750.000,1650.000,1750.000,1650.000,1650.000,1650.000,1600.000,1600.000,1575.000,1600.000,1875.000,1900.000,1900.000,1800.000,1850.000,1800.000,1800.000,1735.000,1700.000,1700.000,1749.000,1800.000,1800.000,1800.000,1800.000,1850.000,1899.000,1850.000,1850.000,1885.000,1900.000,2000.000,2000.000,2000.000,2000.000,2100.000,2000.000,2100.000,2050.000,2100.000,2100.000,2100.000,2000.000,2000.000,1950.000,1975.000,2000.000,2000.000,2000.000,1895.000,1895.000,1900.000,1825.000,1850.000,2000.000,1995.000,1900.000,1963.000,1950.000,1963.000,1850.000,1997.000,2000.000,2000.000,1988.000,1900.000,1900.000,1999.000,2000.000,1988.000,1950.000,1900.000,1900.000,1950.000,1895.000,1900.000,2000.000,1950.000,1900.000,2000.000,2100.000,2058.000,1999.000,2000.000,2000.000,1950.000,1950.000,1850.000,1800.000,1763.000,1750.000,1750.000,1799.000,1750.000,1750.000,1750.000,1750.000,1800.000,1795.000,1775.000,1800.000,1775.000,1850.000,1900.000,1900.000,2000.000,2150.000,2300.000,2175.000,2338.000,2300.000,2238.000
