"Date","Battery.Park.City","Central.Harlem","Central.Park.South","Chelsea","Chinatown","East.Harlem","East.Village","Financial.District","Flatiron","Gramercy.Park","Greenwich.Village","Hamilton.Heights","Inwood","Little.Italy","Lower.East.Side","Midtown","Midtown.East","Midtown.South","Midtown.West","Morningside.Heights","Nolita","Roosevelt.Island","Soho","Stuyvesant.Town.PCV","Tribeca","Upper.East.Side","Upper.West.Side","Washington.Heights","West.Harlem","West.Village"
2017-01-01,4175,2495,7378,3895,2950,2375,3000,3450,4549,3460,3850,2400,1750,3050,2895,3950,3295,3895,3300,3284,3600,3182,4900,4049,7950,2995,3299,2214,2350,3565
2017-02-01,3995,2400,7000,3950,2800,2334,3194,3467,4600,3500,3798,2375,1800,3100,3100,4000,3350,3950,3322,3197,3995,3253,4795,3915,7570,2995,3300,2150,2498,3595
2017-03-01,3910,2350,6998,3910,2725,2350,3163,3558,4498,3500,3800,2399,1850,3050,3000,3999,3332,3965,3215,3190,3600,2915,4615,4040,7950,2925,3250,2150,2500,3600
2017-04-01,3995,2350,6900,3904,2875,2350,3350,3590,4625,3595,3800,2400,1875,3000,3000,4000,3395,3964,3341,3227,3748,3348,4748,4112,7950,2950,3295,2198,2500,3680
2017-05-01,4350,2400,6500,3950,3000,2395,3348,3625,4698,3600,3713,2441,1891,2799,3200,4200,3395,3922,3400,3200,3679,3278,4728,4106,7500,2950,3317,2195,2600,3799
2017-06-01,4393,2400,7000,3900,2800,2405,3277,3600,4595,3500,3595,2500,1850,2800,3156,4200,3400,3875,3415,3080,3723,3333,4500,4222,7500,2950,3350,2195,2583,3800
2017-07-01,4515,2496,6550,3900,2898,2425,3250,3750,4500,3495,3600,2480,1850,2800,3200,4198,3375,3950,3450,3100,3795,3285,5010,4182,8248,2950,3350,2250,2750,3827
2017-08-01,4375,2500,7258,3800,2773,2395,3200,3750,4800,3490,3500,2400,1850,3000,3195,3802,3322,3969,3495,3100,3795,3128,4898,4266,6098,2900,3386,2200,2698,3795
2017-09-01,4485,2475,6862,3845,2700,2375,3000,3695,4800,3495,3600,2495,1845,2795,3097,4000,3300,3965,3441,3000,3625,2785,4950,4435,5995,2995,3355,2100,2500,3695
2017-10-01,4685,2400,7500,3940,2648,2370,3000,3606,4660,3300,3590,2400,1845,2700,3000,3900,3300,3950,3400,2863,3495,2850,5200,4620,5995,2950,3387,2180,2550,3573
2017-11-01,3860,2390,6800,3950,2725,2295,2900,3640,4795,3200,3550,2350,1750,2795,2995,3854,3195,3689,3300,2869,3498,2850,5813,4475,5800,2995,3313,2100,2575,3495
2017-12-01,3948,2395,6550,3910,2800,2350,2914,3615,4700,3300,3513,2325,1795,2613,2950,3900,3200,3600,3300,2937,3500,2915,6500,4710,6433,2990,3346,2100,2600,3498
2018-01-01,4175,2400,7000,3945,2673,2295,2995,3575,4601,3450,3550,2250,1850,2600,2983,3863,3250,3554,3297,2898,3500,2995,5500,4157,6500,2900,3350,2125,2598,3598
2018-02-01,4100,2450,7225,4000,2700,2298,3000,3723,4562,3500,3750,2200,1850,2600,2950,3950,3275,3600,3300,2979,3495,3265,6000,4191,6500,2895,3288,2125,2623,3600
