Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2537.000,2203.000,
2007-02-01,,2469.000,2158.000,
2007-03-01,,2481.000,2174.000,
2007-04-01,,2509.000,2188.000,
2007-05-01,,2536.000,2213.000,
2007-06-01,,2558.000,2233.000,
2007-07-01,,2597.000,2267.000,
2007-08-01,,2632.000,2294.000,
2007-09-01,,2648.000,2311.000,
2007-10-01,,2659.000,2325.000,
2007-11-01,,2680.000,2339.000,
2007-12-01,,2687.000,2346.000,
2008-01-01,,2691.000,2348.000,
2008-02-01,,2690.000,2351.000,
2008-03-01,,2696.000,2357.000,
2008-04-01,,2696.000,2357.000,
2008-05-01,,2697.000,2356.000,
2008-06-01,,2697.000,2358.000,
2008-07-01,,2698.000,2360.000,
2008-08-01,,2699.000,2362.000,
2008-09-01,,2686.000,2352.000,
2008-10-01,,2657.000,2328.000,
2008-11-01,,2628.000,2303.000,
2008-12-01,,2591.000,2271.000,
2009-01-01,,2555.000,2241.000,
2009-02-01,,2520.000,2212.000,
2009-03-01,,2493.000,2189.000,
2009-04-01,,2467.000,2168.000,
2009-05-01,,2450.000,2153.000,
2009-06-01,,2440.000,2145.000,
2009-07-01,,2440.000,2145.000,
2009-08-01,,2436.000,2142.000,
2009-09-01,,2435.000,2142.000,
2009-10-01,,2429.000,2136.000,
2009-11-01,,2417.000,2126.000,
2009-12-01,,2409.000,2120.000,
2010-01-01,1847.000,2414.000,2123.000,
2010-02-01,1836.000,2420.000,2127.000,
2010-03-01,1846.000,2423.000,2130.000,
2010-04-01,1856.000,2431.000,2136.000,
2010-05-01,1870.000,2443.000,2146.000,
2010-06-01,1888.000,2458.000,2160.000,
2010-07-01,1893.000,2475.000,2175.000,
2010-08-01,1904.000,2490.000,2188.000,
2010-09-01,1910.000,2506.000,2201.000,
2010-10-01,1925.000,2516.000,2211.000,
2010-11-01,1915.000,2523.000,2215.000,
2010-12-01,1936.000,2530.000,2223.000,
2011-01-01,1939.000,2542.000,2233.000,
2011-02-01,1942.000,2554.000,2242.000,
2011-03-01,1941.000,2568.000,2254.000,
2011-04-01,1963.000,2585.000,2269.000,
2011-05-01,1980.000,2599.000,2282.000,
2011-06-01,1993.000,2617.000,2297.000,
2011-07-01,2008.000,2636.000,2314.000,
2011-08-01,2023.000,2652.000,2328.000,
2011-09-01,2034.000,2666.000,2341.000,
2011-10-01,2046.000,2680.000,2353.000,
2011-11-01,2052.000,2684.000,2358.000,
2011-12-01,2053.000,2688.000,2360.000,
2012-01-01,2055.000,2696.000,2366.000,1753.000
2012-02-01,2067.000,2704.000,2374.000,1786.000
2012-03-01,2071.000,2718.000,2385.000,1793.000
2012-04-01,2092.000,2731.000,2397.000,1782.000
2012-05-01,2103.000,2748.000,2412.000,1803.000
2012-06-01,2116.000,2760.000,2423.000,1797.000
2012-07-01,2131.000,2776.000,2438.000,1805.000
2012-08-01,2146.000,2790.000,2450.000,1795.000
2012-09-01,2156.000,2800.000,2458.000,1809.000
2012-10-01,2169.000,2805.000,2464.000,1808.000
2012-11-01,2186.000,2810.000,2470.000,1819.000
2012-12-01,2197.000,2811.000,2472.000,1822.000
2013-01-01,2202.000,2813.000,2475.000,1823.000
2013-02-01,2207.000,2823.000,2483.000,1818.000
2013-03-01,2211.000,2831.000,2490.000,1820.000
2013-04-01,2224.000,2839.000,2498.000,1825.000
2013-05-01,2242.000,2855.000,2513.000,1839.000
2013-06-01,2258.000,2867.000,2524.000,1846.000
2013-07-01,2277.000,2879.000,2536.000,1864.000
2013-08-01,2291.000,2890.000,2547.000,1874.000
2013-09-01,2300.000,2900.000,2555.000,1884.000
2013-10-01,2308.000,2903.000,2559.000,1885.000
2013-11-01,2309.000,2903.000,2558.000,1881.000
2013-12-01,2307.000,2898.000,2553.000,1876.000
2014-01-01,2309.000,2900.000,2556.000,1880.000
2014-02-01,2314.000,2904.000,2559.000,1884.000
2014-03-01,2317.000,2911.000,2564.000,1887.000
2014-04-01,2330.000,2927.000,2578.000,1899.000
2014-05-01,2346.000,2946.000,2594.000,1905.000
2014-06-01,2360.000,2959.000,2606.000,1912.000
2014-07-01,2373.000,2972.000,2619.000,1929.000
2014-08-01,2389.000,2986.000,2633.000,1941.000
2014-09-01,2395.000,2993.000,2639.000,1954.000
2014-10-01,2395.000,2996.000,2642.000,1963.000
2014-11-01,2395.000,2996.000,2642.000,1964.000
2014-12-01,2397.000,2997.000,2643.000,1970.000
2015-01-01,2405.000,3002.000,2649.000,1979.000
2015-02-01,2411.000,3013.000,2658.000,1988.000
2015-03-01,2417.000,3025.000,2667.000,1989.000
2015-04-01,2430.000,3040.000,2680.000,1995.000
2015-05-01,2443.000,3060.000,2696.000,2007.000
2015-06-01,2458.000,3078.000,2711.000,2013.000
2015-07-01,2473.000,3092.000,2726.000,2031.000
2015-08-01,2485.000,3105.000,2738.000,2043.000
2015-09-01,2497.000,3111.000,2745.000,2050.000
2015-10-01,2499.000,3111.000,2745.000,2052.000
2015-11-01,2501.000,3106.000,2743.000,2049.000
2015-12-01,2500.000,3101.000,2739.000,2045.000
2016-01-01,2500.000,3100.000,2739.000,2050.000
2016-02-01,2500.000,3101.000,2740.000,2052.000
2016-03-01,2506.000,3107.000,2745.000,2057.000
2016-04-01,2513.000,3117.000,2754.000,2066.000
2016-05-01,2520.000,3132.000,2765.000,2072.000
2016-06-01,2528.000,3144.000,2775.000,2080.000
2016-07-01,2536.000,3153.000,2783.000,2085.000
2016-08-01,2543.000,3158.000,2789.000,2093.000
2016-09-01,2548.000,3157.000,2790.000,2098.000
2016-10-01,2545.000,3149.000,2784.000,2099.000
2016-11-01,2541.000,3136.000,2775.000,2091.000
2016-12-01,2532.000,3125.000,2766.000,2086.000
2017-01-01,2529.000,3117.000,2760.000,2085.000
2017-02-01,2527.000,3113.000,2758.000,2091.000
2017-03-01,2528.000,3114.000,2758.000,2092.000
2017-04-01,2533.000,3122.000,2765.000,2097.000
2017-05-01,2541.000,3134.000,2774.000,2098.000
2017-06-01,2549.000,3145.000,2784.000,2106.000
2017-07-01,2558.000,3155.000,2793.000,2115.000
2017-08-01,2568.000,3162.000,2800.000,2119.000
2017-09-01,2570.000,3161.000,2800.000,2119.000
2017-10-01,2564.000,3152.000,2792.000,2105.000
2017-11-01,2556.000,3137.000,2780.000,2095.000
2017-12-01,2553.000,3127.000,2771.000,2080.000
2018-01-01,2549.000,3120.000,2765.000,2076.000
2018-02-01,2548.000,3123.000,2767.000,2076.000
2018-03-01,2552.000,3130.000,2772.000,2080.000
2018-04-01,2561.000,3141.000,2782.000,2086.000
2018-05-01,2571.000,3158.000,2796.000,2096.000
2018-06-01,2583.000,3176.000,2810.000,2105.000
2018-07-01,2595.000,3190.000,2823.000,2115.000
2018-08-01,2605.000,3205.000,2836.000,2125.000
2018-09-01,2609.000,3213.000,2842.000,2133.000
2018-10-01,2607.000,3209.000,2839.000,2133.000
2018-11-01,2602.000,3202.000,2833.000,2129.000
2018-12-01,2592.000,3195.000,2825.000,2128.000
2019-01-01,2590.000,3192.000,2822.000,2126.000
2019-02-01,2593.000,3197.000,2826.000,2127.000
2019-03-01,2605.000,3206.000,2835.000,2133.000
2019-04-01,2619.000,3220.000,2847.000,2136.000
2019-05-01,2636.000,3237.000,2865.000,2153.000
2019-06-01,2652.000,3255.000,2881.000,2165.000
2019-07-01,2668.000,3272.000,2897.000,2179.000
2019-08-01,2687.000,3286.000,2913.000,2188.000
2019-09-01,2701.000,3292.000,2920.000,2191.000
2019-10-01,2707.000,3288.000,2920.000,2193.000
2019-11-01,2710.000,3284.000,2918.000,2191.000
2019-12-01,2710.000,3276.000,2913.000,2189.000
2020-01-01,2713.000,3274.000,2913.000,2187.000
2020-02-01,2719.000,3274.000,2915.000,2190.000
2020-03-01,2727.000,3263.000,2912.000,2196.000
2020-04-01,2726.000,3243.000,2900.000,2188.000
2020-05-01,2714.000,3207.000,2876.000,2184.000
2020-06-01,2698.000,3169.000,2848.000,2175.000
2020-07-01,2679.000,3121.000,2815.000,2166.000
2020-08-01,2652.000,3060.000,2769.000,2146.000
2020-09-01,2618.000,2990.000,2719.000,2125.000
2020-10-01,2578.000,2916.000,2663.000,2093.000
2020-11-01,2538.000,2852.000,2613.000,2064.000
2020-12-01,2503.000,2798.000,2570.000,2032.000
2021-01-01,2478.000,2752.000,2534.000,2001.000
2021-02-01,2462.000,2724.000,2511.000,1985.000
2021-03-01,2458.000,2713.000,2502.000,1971.000
2021-04-01,2467.000,2724.000,2510.000,1966.000
2021-05-01,2490.000,2761.000,2536.000,1966.000
2021-06-01,2524.000,2823.000,2583.000,1987.000
2021-07-01,2566.000,2903.000,2642.000,2008.000
2021-08-01,2612.000,2993.000,2710.000,2044.000
2021-09-01,2660.000,3076.000,2774.000,2077.000
2021-10-01,2703.000,3149.000,2832.000,2117.000
2021-11-01,2732.000,3216.000,2882.000,2154.000
2021-12-01,2759.000,3276.000,2925.000,2180.000
2022-01-01,2793.000,3333.000,2972.000,2213.000
2022-02-01,2830.000,3394.000,3017.000,2222.000
2022-03-01,2866.000,3458.000,3063.000,2239.000
2022-04-01,2908.000,3522.000,3114.000,2257.000
2022-05-01,2953.000,3590.000,3170.000,2286.000
2022-06-01,3007.000,3648.000,3226.000,2320.000
2022-07-01,3054.000,3695.000,3272.000,2359.000
2022-08-01,3098.000,3737.000,3313.000,2392.000
2022-09-01,3133.000,3764.000,3341.000,2416.000
2022-10-01,3157.000,3768.000,3353.000,2434.000
