areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
All Downtown,Manhattan,submarket,2350.000,2300.000,2200.000,2263.000,2300.000,2300.000,2280.000,2300.000,2450.000,2550.000,2500.000,2425.000,2450.000,2450.000,2399.000,2450.000,2405.000,2410.000,2450.000,2451.000,2500.000,2500.000,2475.000,2450.000,2450.000,2475.000,2495.000,2500.000,2500.000,2499.000,2500.000,2500.000,2500.000,2500.000,2500.000,2595.000,2600.000,2600.000,2600.000,2600.000,2595.000,2550.000,2525.000,2600.000,2600.000,2675.000,2695.000,2675.000,2675.000,2650.000,2700.000,2750.000,2750.000,2650.000,2688.000,2700.000,2700.000,2750.000,2750.000,2750.000,2700.000,2765.000,2800.000,2800.000,2800.000,2750.000,2750.000,2800.000,2850.000,2810.000,2775.000,2806.000,2795.000,2800.000,2821.000,2850.000,2850.000,2850.000,2810.000,2800.000,2750.000,2750.000,2750.000,2720.000,2708.000,2775.000,2750.000,2750.000,2750.000,2750.000,2750.000,2725.000,2750.000,2750.000,2700.000,2695.000,2708.000,2725.000,2750.000,2750.000,2795.000,2800.000,2795.000,2800.000,2849.000,2791.000,2800.000,2800.000,2850.000,2900.000,2878.000,2900.000,2950.000,2950.000,2925.000,2900.000,2900.000,2975.000,2967.000,2958.000,2995.000,2995.000,2900.000,2821.000,2700.000,2594.000,2500.000,2450.000,2393.000,2350.000,2300.000,2295.000,2300.000,2378.000,2400.000,2495.000,2509.000,2665.000,2750.000,2800.000,2950.000,3000.000,3100.000,3195.000,3300.000,3450.000,3495.000,3500.000,3450.000,3495.000,3400.000,3470.000,3500.000,3500.000
All Midtown,Manhattan,submarket,2000.000,1995.000,1995.000,2000.000,2000.000,2000.000,2050.000,2095.000,2100.000,2150.000,2150.000,2185.000,2150.000,2195.000,2200.000,2250.000,2250.000,2350.000,2300.000,2300.000,2300.000,2335.000,2339.000,2350.000,2350.000,2345.000,2348.000,2350.000,2375.000,2378.000,2395.000,2300.000,2350.000,2300.000,2350.000,2353.000,2350.000,2395.000,2400.000,2395.000,2375.000,2395.000,2400.000,2400.000,2450.000,2400.000,2350.000,2400.000,2400.000,2495.000,2450.000,2495.000,2500.000,2500.000,2495.000,2500.000,2500.000,2500.000,2550.000,2550.000,2500.000,2550.000,2550.000,2600.000,2650.000,2600.000,2600.000,2650.000,2695.000,2600.000,2595.000,2595.000,2600.000,2600.000,2600.000,2600.000,2635.000,2650.000,2650.000,2635.000,2600.000,2600.000,2590.000,2600.000,2550.000,2550.000,2595.000,2600.000,2600.000,2600.000,2595.000,2600.000,2595.000,2595.000,2475.000,2472.000,2450.000,2500.000,2500.000,2550.000,2550.000,2595.000,2595.000,2595.000,2575.000,2550.000,2595.000,2650.000,2650.000,2690.000,2631.000,2650.000,2650.000,2695.000,2700.000,2697.000,2700.000,2675.000,2700.000,2700.000,2695.000,2705.000,2750.000,2685.000,2517.000,2452.000,2325.000,2250.000,2195.000,2145.000,2100.000,2100.000,2100.000,2150.000,2158.000,2250.000,2350.000,2400.000,2500.000,2600.000,2650.000,2650.000,2800.000,2900.000,3000.000,3050.000,3100.000,3200.000,3300.000,3200.000,3300.000,3250.000,3200.000,3175.000
All Upper East Side,Manhattan,submarket,1750.000,1750.000,1750.000,1780.000,1800.000,1750.000,1750.000,1700.000,1750.000,1800.000,1750.000,1750.000,1750.000,1750.000,1655.000,1695.000,1700.000,1825.000,1850.000,1850.000,1898.000,1900.000,1875.000,1925.000,1875.000,1875.000,1850.000,1850.000,1850.000,1850.000,1850.000,1895.000,1895.000,1895.000,1850.000,1900.000,1895.000,1950.000,1925.000,1850.000,1895.000,1949.000,1900.000,1900.000,1895.000,1900.000,1950.000,1900.000,1880.000,1900.000,1925.000,1927.000,1900.000,1900.000,1900.000,1925.000,1900.000,1950.000,1900.000,1900.000,1900.000,1900.000,1950.000,2038.000,2075.000,2058.000,2050.000,2100.000,2137.000,2150.000,2100.000,2100.000,2100.000,2099.000,2150.000,2100.000,2125.000,2150.000,2150.000,2149.000,2150.000,2100.000,2099.000,2100.000,2100.000,2050.000,2100.000,2100.000,2100.000,2100.000,2100.000,2100.000,2099.000,2075.000,2050.000,2075.000,2050.000,2075.000,2095.000,2100.000,2095.000,2050.000,2050.000,2100.000,2100.000,2149.000,2125.000,2150.000,2100.000,2150.000,2150.000,2150.000,2175.000,2150.000,2108.000,2150.000,2153.000,2150.000,2195.000,2263.000,2250.000,2245.000,2250.000,2245.000,2150.000,2050.000,1995.000,1950.000,1900.000,1850.000,1825.000,1800.000,1799.000,1800.000,1798.000,1800.000,1850.000,1890.000,1950.000,2000.000,2050.000,2050.000,2075.000,2150.000,2250.000,2350.000,2295.000,2350.000,2500.000,2450.000,2425.000,2495.000,2486.000,2454.000
All Upper Manhattan,Manhattan,submarket,1175.000,1150.000,1150.000,1150.000,1173.000,1195.000,1250.000,1198.000,1200.000,1208.000,1216.000,1200.000,1208.000,1100.000,1200.000,1450.000,1500.000,1550.000,1473.000,1580.000,1573.000,1550.000,1400.000,1500.000,1350.000,1500.000,1475.000,1473.000,1473.000,1500.000,1600.000,1525.000,1595.000,1500.000,1585.000,1425.000,1400.000,1400.000,1400.000,1350.000,1375.000,1400.000,1488.000,1500.000,1425.000,1425.000,1413.000,1400.000,1400.000,1450.000,1400.000,1450.000,1500.000,1550.000,1475.000,1500.000,1490.000,1490.000,1568.000,1568.000,1475.000,1500.000,1500.000,1500.000,1563.000,1595.000,1600.000,1650.000,1600.000,1650.000,1655.000,1600.000,1650.000,1600.000,1650.000,1650.000,1663.000,1650.000,1625.000,1600.000,1600.000,1656.000,1699.000,1699.000,1699.000,1650.000,1650.000,1695.000,1681.000,1675.000,1695.000,1741.000,1732.000,1700.000,1650.000,1650.000,1675.000,1675.000,1695.000,1700.000,1750.000,1775.000,1750.000,1795.000,1795.000,1750.000,1700.000,1700.000,1700.000,1750.000,1700.000,1750.000,1795.000,1800.000,1800.000,1800.000,1800.000,1780.000,1750.000,1750.000,1795.000,1800.000,1825.000,1825.000,1829.000,1800.000,1750.000,1700.000,1695.000,1680.000,1650.000,1625.000,1650.000,1660.000,1650.000,1675.000,1695.000,1700.000,1735.000,1725.000,1700.000,1725.000,1750.000,1750.000,1800.000,1850.000,1850.000,1945.000,1949.000,1995.000,2050.000,2050.000,2000.000,2015.000
All Upper West Side,Manhattan,submarket,1800.000,1800.000,1795.000,1800.000,1895.000,1895.000,1800.000,1895.000,1995.000,2000.000,2000.000,1895.000,1923.000,1950.000,1950.000,1975.000,2000.000,2000.000,2000.000,2150.000,2175.000,2095.000,2050.000,2050.000,2000.000,2000.000,2000.000,2095.000,2050.000,2033.000,2150.000,2156.000,2150.000,2100.000,2156.000,2150.000,2117.000,2163.000,2150.000,2150.000,2100.000,2100.000,2100.000,2150.000,2200.000,2200.000,2150.000,2158.000,2150.000,2185.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2250.000,2200.000,2200.000,2200.000,2195.000,2200.000,2250.000,2300.000,2350.000,2332.000,2300.000,2300.000,2300.000,2300.000,2275.000,2300.000,2295.000,2300.000,2300.000,2300.000,2350.000,2399.000,2350.000,2337.000,2350.000,2350.000,2300.000,2300.000,2250.000,2300.000,2295.000,2250.000,2300.000,2300.000,2295.000,2300.000,2300.000,2275.000,2298.000,2300.000,2275.000,2300.000,2295.000,2300.000,2300.000,2295.000,2300.000,2295.000,2200.000,2205.000,2272.000,2300.000,2300.000,2350.000,2400.000,2350.000,2325.000,2300.000,2300.000,2300.000,2350.000,2363.000,2450.000,2450.000,2475.000,2450.000,2390.000,2295.000,2204.000,2195.000,2100.000,2000.000,1990.000,1950.000,1895.000,1900.000,1895.000,1949.000,1950.000,1995.000,2100.000,2195.000,2200.000,2250.000,2299.000,2350.000,2495.000,2499.000,2550.000,2500.000,2600.000,2695.000,2695.000,2800.000,2750.000,2750.000,2850.000,2863.000
Astoria,Queens,neighborhood,1142.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.000,1400.000,1400.000,1463.000,1825.000,,1275.000,1750.000,1350.000,1575.000,1525.000,1600.000,1600.000,1650.000,1499.000,1538.000,1538.000,1500.000,1750.000,1750.000,1650.000,1698.000,1525.000,1638.000,1650.000,1563.000,1675.000,1725.000,1680.000,1550.000,1550.000,1500.000,1500.000,1550.000,1613.000,1638.000,1750.000,1850.000,1750.000,1963.000,1650.000,1550.000,1900.000,1897.000,1800.000,1675.000,1600.000,1613.000,1750.000,1795.000,1700.000,1850.000,1800.000,1825.000,1750.000,1750.000,1688.000,1800.000,1775.000,1700.000,1700.000,1675.000,1700.000,1700.000,1675.000,1650.000,1865.000,1700.000,1650.000,1750.000,1750.000,1749.000,1698.000,1700.000,1788.000,1763.000,1858.000,1750.000,1750.000,1650.000,1600.000,1700.000,1650.000,1650.000,1700.000,1700.000,1750.000,1750.000,1825.000,1750.000,1675.000,1775.000,1675.000,1675.000,1725.000,1700.000,1650.000,1700.000,1700.000,1650.000,1650.000,1600.000,1500.000,1550.000,1550.000,1575.000,1528.000,1550.000,1600.000,1615.000,1657.000,1700.000,1675.000,1650.000,1664.000,1750.000,1700.000,1663.000,1700.000,1845.000,1700.000,1948.000,1900.000,1851.000,1854.000,1975.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,2550.000,2300.000,2300.000,2500.000,2695.000,2795.000,2795.000,2500.000,2500.000,2650.000,2595.000,2500.000,2500.000,2295.000,2313.000,2500.000,2413.000,2500.000,2443.000,2450.000,2475.000,2475.000,2475.000,2625.000,2650.000,2595.000,2610.000,2725.000,2439.000,2550.000,2545.000,2475.000,2463.000,2473.000,2488.000,2595.000,2675.000,2650.000,2595.000,2673.000,2650.000,2650.000,2650.000,2700.000,2700.000,2700.000,2700.000,2700.000,2700.000,2700.000,2798.000,2900.000,3085.000,2800.000,2685.000,2763.000,2773.000,2850.000,2900.000,2600.000,2800.000,3100.000,2940.000,2935.000,2943.000,3050.000,2893.000,2950.000,3160.000,3000.000,2865.000,2925.000,3073.000,2995.000,3000.000,3000.000,3000.000,3100.000,3200.000,3100.000,3100.000,3100.000,3035.000,2977.000,3050.000,3050.000,2925.000,2950.000,2995.000,2960.000,2973.000,2950.000,2990.000,2915.000,2795.000,2686.000,2746.000,2870.000,3100.000,3100.000,3073.000,3090.000,3150.000,3350.000,3350.000,3200.000,2953.000,2908.000,3150.000,3150.000,3226.000,3180.000,3175.000,3150.000,3390.000,3393.000,3250.000,3186.000,3050.000,3100.000,3250.000,3250.000,3293.000,3250.000,2999.000,2801.000,2650.000,2595.000,2703.000,2705.000,2583.000,2650.000,2780.000,2801.000,2895.000,2952.000,3000.000,3150.000,3400.000,3300.000,3398.000,3455.000,3485.000,3520.000,,3475.000,3675.000,3675.000,3800.000,3886.000,3995.000,3995.000,3765.000,3430.000
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.000,1263.000,1250.000,1150.000,1200.000,1250.000,1245.000,1313.000,,1360.000,1398.000,1398.000,1450.000,1325.000,1325.000,1150.000,1200.000,1175.000,1188.000,1338.000,1450.000,1300.000,1300.000,1335.000,1350.000,1363.000,1350.000,1325.000,1375.000,1375.000,1350.000,1400.000,1400.000,1475.000,1448.000,,,,1300.000,1338.000,1373.000,1465.000,1458.000,1400.000,1485.000,1498.000,1463.000,1450.000,1475.000,1425.000,1425.000,1400.000,1675.000,1450.000,1425.000,1450.000,1500.000,1450.000,1450.000,1500.000,1525.000,1598.000,1475.000,1450.000,1550.000,1500.000,1500.000,1480.000,1485.000,1500.000,1568.000,1550.000,1549.000,1500.000,1495.000,1490.000,1459.000,1468.000,1513.000,1500.000,1537.000,1600.000,1600.000,1500.000,1500.000,1475.000,1450.000,1450.000,1400.000,1399.000,1363.000,1435.000,1425.000,1450.000,1450.000,1450.000,1475.000,1475.000,1450.000,1450.000,1475.000,1495.000,1500.000,1500.000,1525.000,1525.000,1550.000,1580.000,1550.000,1600.000
