areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
All Downtown,Manhattan,submarket,6700.000,6500.000,6500.000,6798.000,6798.000,6000.000,6000.000,6000.000,8398.000,8000.000,7950.000,7300.000,7500.000,7900.000,7500.000,6750.000,6750.000,7100.000,6725.000,7000.000,8000.000,9000.000,9000.000,8500.000,8500.000,7500.000,6991.000,6895.000,6725.000,6695.000,5850.000,6200.000,6900.000,6995.000,6695.000,6995.000,6500.000,6775.000,7000.000,6500.000,6300.000,5995.000,5500.000,5500.000,5650.000,6000.000,6473.000,6495.000,6473.000,6900.000,6950.000,6400.000,6153.000,6500.000,6000.000,6200.000,6225.000,6400.000,6000.000,6000.000,6300.000,6750.000,6995.000,6450.000,6300.000,6150.000,5800.000,6095.000,7000.000,7931.000,7650.000,7085.000,7500.000,7500.000,7500.000,6995.000,6795.000,6795.000,6500.000,6500.000,7200.000,7106.000,7500.000,7495.000,7000.000,6925.000,6500.000,6195.000,6290.000,6000.000,5995.000,5995.000,6200.000,6795.000,7015.000,7025.000,7415.000,7200.000,6977.000,6225.000,6350.000,6000.000,5931.000,6000.000,6000.000,6206.000,6850.000,6850.000,7495.000,6995.000,7105.000,6495.000,6450.000,6300.000,6300.000,6500.000,7000.000,7848.000,8700.000,9725.000,9465.000,8769.000,7900.000,6550.000,6000.000,5800.000,5500.000,5270.000,5195.000,5000.000,5000.000,5050.000,5150.000,5200.000,5200.000,5500.000,6000.000,6200.000,6000.000,6500.000,6662.000,6500.000,6500.000,6500.000,6400.000,6550.000,6800.000,6995.000,7225.000,7495.000,7900.000,8000.000,8750.000,8500.000
All Midtown,Manhattan,submarket,7500.000,7900.000,6775.000,5795.000,6250.000,6500.000,7500.000,7500.000,7500.000,7650.000,7795.000,7850.000,7800.000,8000.000,7900.000,7295.000,7050.000,8500.000,8500.000,7850.000,8873.000,8000.000,7000.000,7250.000,8150.000,8498.000,8375.000,7500.000,8998.000,8900.000,7500.000,7050.000,7400.000,7000.000,7200.000,7100.000,6195.000,6729.000,6500.000,6750.000,6600.000,7000.000,6895.000,6200.000,6025.000,6375.000,6775.000,6898.000,6350.000,6995.000,6890.000,6500.000,6500.000,6468.000,6300.000,6500.000,6950.000,6500.000,6750.000,6520.000,6595.000,6500.000,6406.000,6450.000,6295.000,5875.000,5995.000,5915.000,6200.000,6450.000,6625.000,6898.000,6700.000,6705.000,6650.000,6495.000,6395.000,6600.000,6150.000,6000.000,6000.000,6350.000,6500.000,6633.000,6900.000,6900.000,6900.000,6500.000,6260.000,6200.000,6000.000,5995.000,6300.000,5795.000,6000.000,6298.000,6295.000,6263.000,6300.000,6100.000,5915.000,5785.000,5760.000,5793.000,5950.000,5861.000,5900.000,6000.000,6115.000,6395.000,5695.000,6095.000,5895.000,5895.000,6000.000,5995.000,6273.000,6500.000,6500.000,6975.000,6700.000,6995.000,6907.000,6000.000,5408.000,5261.000,5000.000,4695.000,4621.000,4500.000,4498.000,4500.000,4600.000,4950.000,4999.000,5500.000,5725.000,6000.000,6400.000,7000.000,7438.000,7475.000,7650.000,7355.000,7375.000,7140.000,7400.000,7140.000,7495.000,7900.000,8394.000,8250.000,8300.000,8000.000
All Upper East Side,Manhattan,submarket,8925.000,8950.000,9850.000,8300.000,8050.000,7725.000,7500.000,7100.000,7648.000,7825.000,8500.000,7500.000,7663.000,8990.000,9500.000,9500.000,8950.000,8500.000,8550.000,8925.000,10000.000,9500.000,9500.000,9575.000,11000.000,9650.000,10995.000,10498.000,9650.000,9100.000,8995.000,8995.000,10600.000,9995.000,9575.000,10150.000,9950.000,9950.000,9995.000,9925.000,9950.000,9995.000,8500.000,8000.000,8875.000,8775.000,8995.000,8750.000,8500.000,8200.000,9000.000,8050.000,9500.000,8495.000,8750.000,8060.000,8160.000,8500.000,9750.000,10000.000,10325.000,9800.000,8500.000,8450.000,7500.000,7500.000,7250.000,7550.000,7142.000,7500.000,7995.000,8125.000,8250.000,8769.000,8500.000,8900.000,8800.000,8500.000,8000.000,8050.000,8963.000,8500.000,8498.000,8500.000,8900.000,9429.000,8900.000,8998.000,7941.000,7500.000,7450.000,7200.000,7998.000,7925.000,7506.000,7775.000,7500.000,8498.000,7987.000,8500.000,7900.000,7375.000,6850.000,6995.000,7950.000,7995.000,8445.000,8995.000,8850.000,8750.000,8948.000,8392.000,8545.000,8098.000,7100.000,7808.000,8948.000,9225.000,9500.000,9950.000,9500.000,11500.000,12558.000,10125.000,8000.000,7200.000,7000.000,6500.000,6500.000,6500.000,6695.000,6795.000,6595.000,6000.000,6000.000,6750.000,6120.000,6595.000,6900.000,7448.000,8848.000,9575.000,8300.000,9240.000,9000.000,9000.000,8375.000,8900.000,9125.000,8998.000,9000.000,9800.000,10000.000,10148.000
All Upper Manhattan,Manhattan,submarket,2700.000,2673.000,2600.000,2795.000,2800.000,2600.000,2600.000,2700.000,2700.000,2600.000,2400.000,2400.000,2400.000,2500.000,2595.000,2750.000,2799.000,2800.000,3100.000,2845.000,3000.000,3000.000,2850.000,2875.000,2997.000,2900.000,2995.000,3195.000,3000.000,2800.000,2850.000,2800.000,2850.000,2900.000,2925.000,2850.000,2800.000,2850.000,2900.000,2800.000,2900.000,2950.000,3000.000,3100.000,3000.000,3000.000,3000.000,2950.000,3000.000,2900.000,2800.000,3000.000,3000.000,2985.000,3000.000,3000.000,3000.000,3000.000,2995.000,2950.000,2927.000,2950.000,2900.000,2995.000,3000.000,3100.000,3198.000,3200.000,3211.000,3200.000,3000.000,3000.000,3000.000,3000.000,3150.000,3193.000,3200.000,3200.000,3200.000,3200.000,3204.000,3300.000,3200.000,3082.000,3100.000,3000.000,3020.000,3162.000,3250.000,3250.000,3295.000,3200.000,3200.000,3075.000,2999.000,2998.000,2998.000,3000.000,3100.000,3196.000,3250.000,3295.000,3295.000,3300.000,3208.000,3025.000,3000.000,2999.000,3000.000,3000.000,3025.000,3195.000,3255.000,3300.000,3300.000,3300.000,3300.000,3254.000,3190.000,3193.000,3195.000,3200.000,3250.000,3300.000,3204.000,3195.000,3095.000,2973.000,2850.000,2795.000,2750.000,2722.000,2750.000,2795.000,2795.000,2800.000,2895.000,2995.000,3000.000,2997.000,2995.000,2995.000,2915.000,2995.000,2900.000,2995.000,3000.000,3200.000,3339.000,3500.000,3695.000,3700.000,3500.000,3575.000
All Upper West Side,Manhattan,submarket,7000.000,7000.000,7000.000,7950.000,8998.000,8500.000,7250.000,7550.000,8000.000,8495.000,9000.000,8000.000,8500.000,8950.000,9000.000,8900.000,8495.000,8125.000,7950.000,8000.000,8425.000,8500.000,8950.000,8500.000,9000.000,8995.000,9500.000,9900.000,9000.000,9500.000,8900.000,8472.000,8500.000,8998.000,8995.000,9000.000,8500.000,8600.000,9200.000,8900.000,8500.000,8500.000,8000.000,7763.000,9285.000,9000.000,8500.000,8425.000,8100.000,8995.000,8600.000,9200.000,9000.000,9000.000,8700.000,8750.000,8450.000,8448.000,8850.000,8900.000,9413.000,9000.000,9500.000,9416.000,8670.000,8055.000,8500.000,8455.000,8995.000,9000.000,8500.000,9350.000,8750.000,8795.000,8300.000,8500.000,8000.000,7800.000,7850.000,7475.000,7825.000,7499.000,7500.000,7749.000,7965.000,8500.000,8077.000,8000.000,7250.000,7050.000,6700.000,6500.000,6596.000,6863.000,7000.000,7395.000,7219.000,7113.000,6995.000,6995.000,6998.000,6950.000,6000.000,6800.000,6995.000,7000.000,7775.000,7973.000,8000.000,7639.000,6863.000,6768.000,7095.000,6895.000,6500.000,6454.000,6500.000,7249.000,7750.000,8200.000,8463.000,8295.000,8000.000,7205.000,6825.000,6500.000,6500.000,6000.000,5995.000,6000.000,6175.000,6175.000,6500.000,6850.000,6500.000,6400.000,6158.000,6000.000,6000.000,6000.000,6500.000,7995.000,8373.000,8000.000,7500.000,8402.000,8350.000,7995.000,7800.000,8075.000,8700.000,9150.000,9900.000,9375.000
Astoria,Queens,neighborhood,2000.000,2150.000,2100.000,2050.000,2000.000,2150.000,,,,,,,,,,,2250.000,2300.000,,,,,2450.000,2500.000,2500.000,3000.000,2850.000,2975.000,2500.000,3300.000,3275.000,3275.000,,2650.000,2500.000,2700.000,2500.000,2599.000,2700.000,3000.000,2850.000,2800.000,2650.000,2750.000,2900.000,3000.000,3000.000,2800.000,2800.000,2800.000,2800.000,2850.000,2900.000,2875.000,2950.000,3000.000,3000.000,2995.000,2800.000,2800.000,2900.000,2900.000,3000.000,3000.000,2900.000,2850.000,2800.000,2950.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3100.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,2950.000,3000.000,2975.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,2900.000,2900.000,2900.000,2900.000,2900.000,2900.000,2800.000,2850.000,2850.000,2819.000,2895.000,2945.000,2950.000,2999.000,2900.000,2800.000,2700.000,2895.000,2900.000,2900.000,2950.000,2995.000,3000.000,2900.000,2900.000,2900.000,2900.000,2850.000,2900.000,3000.000,3000.000,2950.000,2985.000,3000.000,3000.000,2900.000,2900.000,2900.000,2800.000,2700.000,2663.000,2600.000,2600.000,2673.000,2690.000,2700.000,2750.000,2800.000,2875.000,3000.000,2900.000,2850.000,2900.000,2850.000,2900.000,2895.000,3000.000,3050.000,3100.000,3250.000,3325.000,3500.000,3500.000,3500.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449.000,,,2673.000,,,,,,,,,,,,,2650.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.000,,,,,,2100.000,2150.000,2150.000,2400.000,2400.000,2300.000,2300.000,2300.000,2200.000,2300.000,2300.000,2300.000,2375.000,2350.000,2575.000,2550.000,2300.000,2300.000,2399.000,2400.000,2350.000,2350.000,,2323.000,2299.000,,,2447.000,2300.000,2200.000,2150.000,2250.000,2300.000,,2475.000,2500.000,2500.000,2325.000,,2540.000,,,2400.000,2400.000,,2450.000,,,2400.000,,,,,,,,,,,,,,2600.000,,2300.000,,2525.000,2375.000,2450.000,2500.000,2500.000,,2700.000,2500.000,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,7895.000,8700.000,8500.000,9500.000,10000.000,10000.000,12000.000,11700.000,10000.000,10000.000,10000.000,10000.000,10975.000,9095.000,11950.000,12225.000,12500.000,11000.000,11950.000,11950.000,10450.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10500.000,10250.000,9700.000,9625.000,9995.000,10000.000,10000.000,9995.000,10000.000,10000.000,10000.000,10000.000,10000.000,10750.000,11500.000,10800.000,11200.000,10045.000,10000.000,10500.000,9923.000,11000.000,10000.000,9800.000,10750.000,11000.000,11000.000,11375.000,12500.000,12500.000,12500.000,12500.000,12750.000,11875.000,10800.000,13500.000,12500.000,12500.000,13500.000,13500.000,12500.000,11500.000,12250.000,11950.000,11950.000,11725.000,11000.000,11791.000,11900.000,12000.000,11900.000,11650.000,11750.000,10500.000,10500.000,10800.000,11500.000,11600.000,11700.000,11000.000,11000.000,10450.000,11000.000,11318.000,12068.000,11635.000,11875.000,10900.000,12500.000,10900.000,12500.000,12900.000,12900.000,12500.000,12500.000,12700.000,12500.000,12000.000,12000.000,12000.000,11250.000,12125.000,13813.000,12475.000,12000.000,11875.000,11300.000,10600.000,10550.000,9975.000,10900.000,10950.000,10900.000,,12500.000,12500.000,,10400.000,10500.000,10900.000,10950.000,10950.000,10950.000,11000.000,10950.000,10600.000,11750.000,10925.000,11275.000,11250.000,12000.000,11000.000,10675.000,,,,10500.000,,,,15995.000,16500.000,,12900.000,12998.000,13250.000,15000.000
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1900.000,,,,,,,,,,,,,,,,,,,,,,,2598.000,,,,2723.000,2300.000,2500.000,2500.000,2400.000,2400.000,2300.000,2495.000,2400.000,2600.000,2638.000,2735.000,2600.000,2625.000,2798.000,2600.000,2525.000,2500.000,2500.000,2600.000,2550.000,2500.000,2600.000,2500.000,2600.000,3048.000,2900.000,2550.000,2648.000,2650.000,2550.000,2500.000,2795.000,2698.000,2600.000,2600.000,2600.000,2700.000,2650.000,2700.000,2600.000,2600.000,2500.000,2499.000,2400.000,2400.000,2500.000,2600.000,2600.000,2599.000,2595.000,2595.000,2599.000,2600.000,2573.000,2500.000,2500.000,2550.000,2500.000,2500.000,2500.000,2550.000,2500.000,2595.000,2600.000,2600.000,2600.000,2538.000,2600.000,2600.000,2700.000,2650.000,2699.000,2600.000,2600.000,2598.000,2600.000,2600.000,2600.000,2500.000,2500.000,2625.000,2525.000,2500.000,2600.000,2595.000,2500.000,2500.000,2500.000,2595.000,2600.000,2500.000,2625.000,2500.000,2595.000,2600.000,2650.000,2500.000,2500.000,2598.000,2600.000,2650.000,2625.000,2600.000,2800.000,2900.000,2700.000,2825.000,3000.000,3000.000,3000.000,3000.000
